,specimen_id,input_resistance,tau,v_baseline,sag_nearest_minus_100,sag_measured_at,rheobase_i,fi_linear_fit_slope,ap_1_threshold_v_0_long_square,ap_1_peak_v_0_long_square,ap_1_upstroke_0_long_square,ap_1_downstroke_0_long_square,ap_1_upstroke_downstroke_ratio_0_long_square,ap_1_width_0_long_square,ap_1_fast_trough_v_0_long_square,ap_mean_threshold_v_0_long_square,ap_mean_peak_v_0_long_square,ap_mean_upstroke_0_long_square,ap_mean_downstroke_0_long_square,ap_mean_upstroke_downstroke_ratio_0_long_square,ap_mean_width_0_long_square,ap_mean_fast_trough_v_0_long_square,avg_rate_0_long_square,latency_0_long_square,stimulus_amplitude_0_long_square,fi_sqrt_fit_Ic,stimulus_name,sweeps_used,dandiset label,created,species,specimen_id.1,id_full,dandiset_id,age,subject_id,cell_id,brain_region,species_meta,filepath,contributor,umap X,umap Y,pca X,pca Y,GMM cluster label,supervised umap X,supervised umap Y,dandiset_link,file_link,meta_data_link
4273,000020/sub-703285835/sub-703285835_ses-706159083_icephys.nwb,2.119647468727084,1.258551735049849,-73.04834747314453,0.0349105261266231,-88.5625,139.0,0.0934834110586056,-45.43750381469727,22.31250190734864,343.4289004203152,-143.2389071003036,2.397595090416514,-0.2518119729958159,-54.96875381469727,-45.43750381469727,22.31250190734864,343.4289004203152,-143.2389071003036,2.397595090416514,0.0005599999999974,-54.96875381469727,1.000000000004329,0.1095599999995013,139.0,22.295518526972536,PLACEHOLDER,[ 5  7  8  9 10],20,2020-04-30 00:53:01.664000+00:00,House mouse,000020/sub-703285835/sub-703285835_ses-706159083_icephys.nwb,000020/000020/sub-703285835/sub-703285835_ses-706159083_icephys.nwb,20,60.0,703285835,706159083,visual cortex,House mouse,sub-703285835/sub-703285835_ses-706159083_icephys.nwb,"Gouwens, Nathan",-8.300654,4.439451,-0.8298117387795159,-1.9666200016459363,11,13.945255,-4.1034465,https://dandiarchive.org/dandiset/000020,https://dandiarchive.s3.amazonaws.com/blobs/619/876/6198761c-3c6e-4ceb-bb25-2dd2b2cd2cb1,https://api.dandiarchive.org/api/dandisets/000020/versions/draft/assets/3a94bbf0-a6c6-48ab-8d0e-b71be1f192ec/
4138,000020/sub-710327154/sub-710327154_ses-712133902_icephys.nwb,2.1358284366814733,0.8339099053930591,-73.57516479492188,0.0610498450696468,-88.81250762939453,170.0,0.7964285638461225,-36.625,16.875,283.03599354079813,-201.81355978495264,1.4024627177796876,-0.3565473235158853,-55.65625381469727,-36.625,16.875,283.03599354079813,-201.81355978495264,1.4024627177796876,0.0004399999999979,-55.65625381469727,1.000000000004329,0.0218399999999006,170.0,147.95833310118144,PLACEHOLDER,[ 5  6  7  8  9 10],20,2020-04-30 00:53:01.664000+00:00,House mouse,000020/sub-710327154/sub-710327154_ses-712133902_icephys.nwb,000020/000020/sub-710327154/sub-710327154_ses-712133902_icephys.nwb,20,53.0,710327154,712133902,visual cortex,House mouse,sub-710327154/sub-710327154_ses-712133902_icephys.nwb,"Gouwens, Nathan",-12.849168,0.66744703,-0.5725291045740306,-2.2553984264876483,11,12.600544,-3.823574,https://dandiarchive.org/dandiset/000020,https://dandiarchive.s3.amazonaws.com/blobs/ea7/77c/ea777c13-5609-4f14-80dd-57573e8008fb,https://api.dandiarchive.org/api/dandisets/000020/versions/draft/assets/5bdc3ddc-f8d9-49ae-ab28-876849060fdf/
2221,000020/sub-822442500/sub-822442500_ses-824937470_icephys.nwb,1.9912263740515943,1.0865350464888066,-71.52214813232422,0.0445355325937271,-83.32499694824219,129.0,0.2420560547391113,-26.69375228881836,64.23749542236328,498.3464015707521,-93.00797660480372,5.358103893478457,-0.055517327849436596,-33.14375305175781,-26.19583320617676,63.74166870117188,489.5002409987812,-93.60684022598748,5.230157218446762,0.0008799999999976,-32.84791946411133,3.000000000006992,0.3267600000003268,129.0,7.500013956016519,PLACEHOLDER,[6 7 8 9],20,2020-04-30 00:53:01.664000+00:00,House mouse,000020/sub-822442500/sub-822442500_ses-824937470_icephys.nwb,000020/000020/sub-822442500/sub-822442500_ses-824937470_icephys.nwb,20,57.0,822442500,824937470,visual cortex,House mouse,sub-822442500/sub-822442500_ses-824937470_icephys.nwb,"Gouwens, Nathan",16.108856,11.641494,-0.7789657822703346,1.6702596560819405,17,12.721697,4.994299,https://dandiarchive.org/dandiset/000020,https://dandiarchive.s3.amazonaws.com/blobs/5a3/26d/5a326d15-2ab0-4666-b18e-9201a2578799,https://api.dandiarchive.org/api/dandisets/000020/versions/draft/assets/35850bc7-3517-4ddd-a86b-dd8eead9109f/
5641,000023/sub-768678784/sub-768678784_ses-768874978_icephys.nwb,2.0950603757246284,1.2413365992270138,-64.0189437866211,0.2525059580802917,-78.40625,100.0,0.1401869172953186,-35.73125076293945,47.53750228881836,382.893756853201,-109.16566686383584,3.507455849931195,-0.08618614761585962,-46.01875305175781,-35.73125076293945,47.53750228881836,382.893756853201,-109.16566686383584,3.507455849931195,0.0008200000000008,-46.01875305175781,1.0000000000023306,0.0795000000000795,100.0,13.058820464181364,PLACEHOLDER,[6 7 8 9],23,2020-05-26 19:01:32.401000+00:00,Human,000023/sub-768678784/sub-768678784_ses-768874978_icephys.nwb,000023/000023/sub-768678784/sub-768678784_ses-768874978_icephys.nwb,23,0.0,768678784,768874978,neocortex,Human,sub-768678784/sub-768678784_ses-768874978_icephys.nwb,"Kalmbach, Brian",14.20415,13.738087,-1.0846437740153294,-0.1301638059202827,12,15.508972,4.9822,https://dandiarchive.org/dandiset/000023,https://dandiarchive.s3.amazonaws.com/blobs/df4/78b/df478b19-efe6-44a5-af9b-1db7245dba6c,https://api.dandiarchive.org/api/dandisets/000023/versions/draft/assets/52668097-5478-478d-86e5-a58aafcfa87e/
8039,000636/sub-949398083/sub-949398083_ses-954223159_icephys.nwb,2.0536786577712083,0.9494316927867213,-65.04759216308594,0.4089178740978241,-77.23750305175781,119.0,0.4849999598720539,-28.325000762939453,22.80000114440918,261.9236604917108,-149.85174708618433,1.7478852638339308,-0.23657200643668833,-57.30000305175781,-28.325000762939453,22.80000114440918,261.9236604917108,-149.85174708618433,1.7478852638339308,0.0005800000000005,-57.30000305175781,1.0000000000023306,0.0759000000000759,119.0,12.380952292240137,PLACEHOLDER,[5 7 8 9],636,2023-09-15 22:22:19.423708+00:00,Human,000636/sub-949398083/sub-949398083_ses-954223159_icephys.nwb,000636/000636/sub-949398083/sub-949398083_ses-954223159_icephys.nwb,636,0.0,949398083,954223159,neocortex,Human,sub-949398083/sub-949398083_ses-954223159_icephys.nwb,"Lee, Brian",-5.3165336,18.26363,-0.8368126517318829,-1.2827288132566077,12,17.523046,4.738426,https://dandiarchive.org/dandiset/000636,https://dandiarchive.s3.amazonaws.com/blobs/8d0/725/8d0725dd-b5ed-46bb-aa2f-e2ef39be1b21,https://api.dandiarchive.org/api/dandisets/000636/versions/draft/assets/1b3fc040-ace8-405b-976b-86fe0f59478c/
6266,000109/sub-811677083/sub-811677083_ses-811963099_icephys.nwb,2.3598552639501427,1.352439426632313,-78.82505798339844,0.0981712862849235,-100.28125,50.0,0.2588709769473747,-43.0625,39.01874923706055,357.0567473048088,-124.19443559583976,2.874981842719284,-0.14266750356830932,-53.53749847412109,-43.0625,39.01874923706055,357.0567473048088,-124.19443559583976,2.874981842719284,0.0007200000000007,-53.53749847412109,1.0000000000023306,0.1061400000001061,50.0,14.674330046228429,PLACEHOLDER,[21 22 26 27 28],109,2021-06-08 00:45:52.383457+00:00,Human,000109/sub-811677083/sub-811677083_ses-811963099_icephys.nwb,000109/000109/sub-811677083/sub-811677083_ses-811963099_icephys.nwb,109,0.0,811677083,811963099,neocortex,Human,sub-811677083/sub-811677083_ses-811963099_icephys.nwb,"Chartrand, Thomas",-6.811131,5.965948,-0.941287509381501,-1.146426718500593,11,14.818074,-3.3171635,https://dandiarchive.org/dandiset/000109,https://dandiarchive.s3.amazonaws.com/blobs/513/96d/51396de1-2ab9-4aca-a313-4338bed44304,https://api.dandiarchive.org/api/dandisets/000109/versions/draft/assets/410bddf9-8694-48ba-b28e-63f481b28360/
7211,000209/sub-861697826/sub-861697826_ses-861737408_icephys.nwb,2.539448570081603,1.2870091311717817,-59.88131713867188,0.1995253562927246,-99.9437484741211,39.0,0.4099999844654723,-30.69375228881836,39.51250457763672,252.1087505966147,-99.4054171737299,2.536167120107817,-0.017728766960024425,-48.14999771118164,-30.69375228881836,39.51250457763672,252.1087505966147,-99.4054171737299,2.536167120107817,0.0009600000000009,-48.14999771118164,1.0000000000023306,0.0679600000000679,39.0,6.666666657724003,PLACEHOLDER,[ 9 11 12 13],209,2021-12-21 19:50:19.326743+00:00,Human,000209/sub-861697826/sub-861697826_ses-861737408_icephys.nwb,000209/000209/sub-861697826/sub-861697826_ses-861737408_icephys.nwb,209,0.0,861697826,861737408,neocortex,Human,sub-861697826/sub-861697826_ses-861737408_icephys.nwb,"Wakeman, Wayne",16.128435,5.485536,-0.8805610009704887,0.7336411608743673,11,14.62124,-1.045059,https://dandiarchive.org/dandiset/000209,https://dandiarchive.s3.amazonaws.com/blobs/b5a/8f6/b5a8f668-207a-42f6-b074-7aaa222c42e2,https://api.dandiarchive.org/api/dandisets/000209/versions/draft/assets/6b2d67c7-f6b6-4d1a-99a4-5303686b200b/
6738,000142/sub-1001372857/sub-1001372857_ses-1002456663_icephys.nwb,2.057380726487881,1.115305141991158,-65.06230926513672,0.1862550675868988,-79.02500915527344,170.0,0.135344816388042,-29.206249237060547,34.59375,281.8203007090187,-140.0005591906779,2.012994107581993,-0.16749108729338047,-54.337501525878906,-29.206249237060547,34.59375,281.8203007090187,-140.0005591906779,2.012994107581993,0.0006800000000006,-54.337501525878906,1.0000000000023306,0.0488200000000488,170.0,15.000015146703376,PLACEHOLDER,[ 5  6  8  9 10],142,2021-09-23 23:50:31.083146+00:00,Human,000142/sub-1001372857/sub-1001372857_ses-1002456663_icephys.nwb,000142/000142/sub-1001372857/sub-1001372857_ses-1002456663_icephys.nwb,142,0.0,1001372857,1002456663,neocortex,Human,sub-1001372857/sub-1001372857_ses-1002456663_icephys.nwb,"Kalmbach, Brian",-6.101217,19.204142,-0.8347633753559924,-0.6224467238930791,11,12.80001,-2.327151,https://dandiarchive.org/dandiset/000142,https://dandiarchive.s3.amazonaws.com/blobs/ec1/44a/ec144a74-cc25-41ec-a143-7229629a9d91,https://api.dandiarchive.org/api/dandisets/000142/versions/draft/assets/a63ddfcc-bd2b-40bf-ab34-51a18393dd52/
1864,000020/sub-853715112/sub-853715112_ses-859033944_icephys.nwb,2.2565732234761047,1.1056211994871556,-59.992801666259766,0.0701273009181022,-80.00000762939453,100.0,0.3500000092056001,-32.07500457763672,24.587501525878903,267.47835811253907,-110.07276155272191,2.430014059240478,-0.23657200643668833,-37.27499771118164,-30.69062805175781,25.268749237060547,260.2659470500099,-104.65495560390292,2.490001005500304,0.0006200000000006,-36.59999847412109,2.000000000004661,0.0568800000000568,100.0,15.494254270259322,PLACEHOLDER,[ 7  9 10 11],20,2020-04-30 00:53:01.664000+00:00,House mouse,000020/sub-853715112/sub-853715112_ses-859033944_icephys.nwb,000020/000020/sub-853715112/sub-853715112_ses-859033944_icephys.nwb,20,70.0,853715112,859033944,visual cortex,House mouse,sub-853715112/sub-853715112_ses-859033944_icephys.nwb,"Gouwens, Nathan",10.489203,5.388335,-0.3750464088513892,0.4056530442808842,18,11.123146,0.5034164,https://dandiarchive.org/dandiset/000020,https://dandiarchive.s3.amazonaws.com/blobs/968/464/96846403-1263-4216-96b5-5212fbfd3d50,https://api.dandiarchive.org/api/dandisets/000020/versions/draft/assets/b71a8c2c-13a8-4354-8d74-a9d7b301f4b4/
10447,001626/sub-1452803736/sub-1452803736_ses-1454120032_icephys.nwb,2.0027060580170812,0.9988256475840045,-77.24794006347656,0.0464461110532283,-95.62500762939452,70.0,0.018679531053997,-38.6875,49.125,351.5480051128296,-74.54609604767418,4.715847291158017,0.049218022670608104,-39.28125381469727,-38.453125,48.671875,329.80126144801943,-68.8034946620025,4.800439932442597,0.0012099999999976,-39.65625,2.0,0.2022200000004806,70.0,-379.4276212606844,PLACEHOLDER,[ 9 12 13 ... 20 21 22],1626,2025-10-13 14:10:59.421131+00:00,Macaca mulatta - Rhesus monkey,001626/sub-1452803736/sub-1452803736_ses-1454120032_icephys.nwb,001626/001626/sub-1452803736/sub-1452803736_ses-1454120032_icephys.nwb,1626,0.0,1452803736,1454120032,unknown,Macaca mulatta - Rhesus monkey,sub-1452803736/sub-1452803736_ses-1454120032_icephys.nwb,"Gonzalez, Limary",22.45559,17.875294,-0.7406098713747685,1.0195428280657,17,12.379854,5.168016,https://dandiarchive.org/dandiset/001626,https://dandiarchive.s3.amazonaws.com/blobs/22d/b96/22db9604-17ef-42be-ad18-f7187f340d5a,https://api.dandiarchive.org/api/dandisets/001626/versions/draft/assets/208ed3bb-8131-42c4-a4a9-498b1de2f2ac/
