specimen_id,input_resistance,tau,v_baseline,sag_nearest_minus_100,sag_measured_at,rheobase_i,fi_linear_fit_slope,ap_1_threshold_v_0_long_square,ap_1_peak_v_0_long_square,ap_1_upstroke_0_long_square,ap_1_downstroke_0_long_square,ap_1_upstroke_downstroke_ratio_0_long_square,ap_1_width_0_long_square,ap_1_fast_trough_v_0_long_square,ap_mean_threshold_v_0_long_square,ap_mean_peak_v_0_long_square,ap_mean_upstroke_0_long_square,ap_mean_downstroke_0_long_square,ap_mean_upstroke_downstroke_ratio_0_long_square,ap_mean_width_0_long_square,ap_mean_fast_trough_v_0_long_square,avg_rate_0_long_square,latency_0_long_square,stimulus_amplitude_0_long_square,fi_sqrt_fit_Ic,stimulus_name,sweeps_used,dandiset label,created,species,specimen_id,id_full,dandiset_id,age,subject_id,cell_id,brain_region,species_meta,filepath,contributor,umap X,umap Y,pca X,pca Y,GMM cluster label,supervised umap X,supervised umap Y,norm umap X,norm umap Y,dandiset_link,file_link,meta_data_link
000008/sub-mouse-ZZVQT/sub-mouse-ZZVQT_ses-20181003-sample-3_slice-20181003-slice-3_cell-20181003-sample-3_icephys.nwb,242.6988631,0.022206129,-60.38400537,0.224911926,-97.26019204,80,-0.030012525,-32.79683739,46.6295518,185.6168603,-99.13336205,1.872395493,0.00104,-45.14775798,-30.12494482,44.38809305,166.6185739,-92.31576441,1.803244735,0.001064,-43.63575429,8.333333333,0.08064,80,1001.430396,no description,[13 14 15 ... 76 77 78],8,2020-03-17 18:20:55.694000+00:00,House mouse,000008/sub-mouse-ZZVQT/sub-mouse-ZZVQT_ses-20181003-sample-3_slice-20181003-slice-3_cell-20181003-sample-3_icephys.nwb,000008/000008/sub-mouse-ZZVQT/sub-mouse-ZZVQT_ses-20181003-sample-3_slice-20181003-slice-3_cell-20181003-sample-3_icephys.nwb,8,63,mouse_ZZVQT,20181003_sample_3,motor cortex,House mouse,sub-mouse-ZZVQT/sub-mouse-ZZVQT_ses-20181003-sample-3_slice-20181003-slice-3_cell-20181003-sample-3_icephys.nwb,"Scala, Federico",13.923486,-7.2561326,2.16124726,1.755646878,11,4.2138124,2.1255617,10.853185,19.396269,https://dandiarchive.org/dandiset/000008,https://dandiarchive.s3.amazonaws.com/blobs/b9a/c90/b9ac9008-f238-4994-85a5-fdc43a6a0c1a,https://api.dandiarchive.org/api/dandisets/000008/versions/draft/assets/c945f4f8-5871-417c-a3aa-aea6925d744b/
000008/sub-mouse-ZZVQT/sub-mouse-ZZVQT_ses-20181003-sample-8_slice-20181003-slice-8_cell-20181003-sample-8_icephys.nwb,154.8325643,0.013060884,-66.89316198,0.103561239,-96.76825255,120,-0.035601725,-39.78575766,47.38696665,238.6477227,-122.3492821,1.950544527,0.00084,-50.24020374,-39.78575766,47.38696665,238.6477227,-122.3492821,1.950544527,0.00084,-50.24020374,1.666666667,0.07604,120,1079.04404,no description,[15 16 17 ... 76 77 78],8,2020-03-17 18:20:55.694000+00:00,House mouse,000008/sub-mouse-ZZVQT/sub-mouse-ZZVQT_ses-20181003-sample-8_slice-20181003-slice-8_cell-20181003-sample-8_icephys.nwb,000008/000008/sub-mouse-ZZVQT/sub-mouse-ZZVQT_ses-20181003-sample-8_slice-20181003-slice-8_cell-20181003-sample-8_icephys.nwb,8,63,mouse_ZZVQT,20181003_sample_8,motor cortex,House mouse,sub-mouse-ZZVQT/sub-mouse-ZZVQT_ses-20181003-sample-8_slice-20181003-slice-8_cell-20181003-sample-8_icephys.nwb,"Scala, Federico",22.382221,-0.91631794,-0.55471166,-0.002095753,12,1.59837,0.37919757,29.610031,-3.6101615,https://dandiarchive.org/dandiset/000008,https://dandiarchive.s3.amazonaws.com/blobs/fc8/759/fc87599d-d6d7-4bac-a43c-6700573152e5,https://api.dandiarchive.org/api/dandisets/000008/versions/draft/assets/7cfbd826-b1fd-4c97-a711-35e3de7f1804/
000008/sub-mouse-ZZVQT/sub-mouse-ZZVQT_ses-20181003-sample-5_slice-20181003-slice-5_cell-20181003-sample-5_icephys.nwb,290.7359973,0.026798646,-58.58921294,0.115066044,-97.54237533,60,-0.02288857,-30.48291057,49.75944757,193.861581,-98.42516729,1.969634255,0.001,-43.612618,-29.35025934,49.14231598,186.481222,-96.51376576,1.931415367,0.00102,-43.41815971,3.333333333,0.0902,60,993.3141124,no description,[12 13 14 ... 76 77 78],8,2020-03-17 18:20:55.694000+00:00,House mouse,000008/sub-mouse-ZZVQT/sub-mouse-ZZVQT_ses-20181003-sample-5_slice-20181003-slice-5_cell-20181003-sample-5_icephys.nwb,000008/000008/sub-mouse-ZZVQT/sub-mouse-ZZVQT_ses-20181003-sample-5_slice-20181003-slice-5_cell-20181003-sample-5_icephys.nwb,8,63,mouse_ZZVQT,20181003_sample_5,motor cortex,House mouse,sub-mouse-ZZVQT/sub-mouse-ZZVQT_ses-20181003-sample-5_slice-20181003-slice-5_cell-20181003-sample-5_icephys.nwb,"Scala, Federico",17.371279,0.37640575,0.047291264,1.846283238,11,3.8941305,1.9194511,13.965941,13.626724,https://dandiarchive.org/dandiset/000008,https://dandiarchive.s3.amazonaws.com/blobs/0f1/6c5/0f16c545-537a-4ebd-aa93-ae9493103d26,https://api.dandiarchive.org/api/dandisets/000008/versions/draft/assets/0c090fce-58b5-4605-b846-fa772a952775/
000008/sub-mouse-ZZVQT/sub-mouse-ZZVQT_ses-20181003-sample-10_slice-20181003-slice-10_cell-20181003-sample-10_icephys.nwb,179.0619642,0.018017131,-70.45173925,0.14060922,-97.94390202,120,-0.047527473,-41.07447341,35.34748033,203.3204993,-135.5783,1.499653701,0.0008,-57.49628693,-41.1880631,35.26125103,201.7723095,-134.4123912,1.50111936,0.00081,-57.16516357,6.666666667,0.11156,120,1131.1131,no description,[15 16 17 ... 76 77 78],8,2020-03-17 18:20:55.694000+00:00,House mouse,000008/sub-mouse-ZZVQT/sub-mouse-ZZVQT_ses-20181003-sample-10_slice-20181003-slice-10_cell-20181003-sample-10_icephys.nwb,000008/000008/sub-mouse-ZZVQT/sub-mouse-ZZVQT_ses-20181003-sample-10_slice-20181003-slice-10_cell-20181003-sample-10_icephys.nwb,8,63,mouse_ZZVQT,20181003_sample_10,motor cortex,House mouse,sub-mouse-ZZVQT/sub-mouse-ZZVQT_ses-20181003-sample-10_slice-20181003-slice-10_cell-20181003-sample-10_icephys.nwb,"Scala, Federico",6.987403,-10.829532,1.563728137,-0.410065681,11,3.6304605,2.596445,26.446163,3.903575,https://dandiarchive.org/dandiset/000008,https://dandiarchive.s3.amazonaws.com/blobs/372/07f/37207fd9-2ee5-4723-92b3-393b0c8eac7b,https://api.dandiarchive.org/api/dandisets/000008/versions/draft/assets/79996ce4-5de4-4f96-87db-241380096e4a/
000008/sub-mouse-ZZVQT/sub-mouse-ZZVQT_ses-20181003-sample-6_slice-20181003-slice-6_cell-20181003-sample-6_icephys.nwb,347.9836136,0.036573513,-56.48698093,0.005654392,-101.4772281,40,-0.019464529,-37.0211862,53.24308574,176.658332,-89.11260556,1.982416863,0.00116,-46.83936387,-31.49370779,46.0392735,132.9859779,-71.225529,1.859215396,0.00133,-43.34549373,13.33333333,0.1312,40,690.7159136,no description,[11 12 13 ... 55 57 59],8,2020-03-17 18:20:55.694000+00:00,House mouse,000008/sub-mouse-ZZVQT/sub-mouse-ZZVQT_ses-20181003-sample-6_slice-20181003-slice-6_cell-20181003-sample-6_icephys.nwb,000008/000008/sub-mouse-ZZVQT/sub-mouse-ZZVQT_ses-20181003-sample-6_slice-20181003-slice-6_cell-20181003-sample-6_icephys.nwb,8,63,mouse_ZZVQT,20181003_sample_6,motor cortex,House mouse,sub-mouse-ZZVQT/sub-mouse-ZZVQT_ses-20181003-sample-6_slice-20181003-slice-6_cell-20181003-sample-6_icephys.nwb,"Scala, Federico",14.230429,-8.168274,4.230864389,2.597731321,8,5.2829685,1.3173534,-6.3717775,13.826143,https://dandiarchive.org/dandiset/000008,https://dandiarchive.s3.amazonaws.com/blobs/90e/a8b/90ea8bae-1575-4e3c-8d7b-09ba8bb7dfe2,https://api.dandiarchive.org/api/dandisets/000008/versions/draft/assets/531426f8-05ba-4be2-9887-0a7d39739070/
000008/sub-mouse-ZZVQT/sub-mouse-ZZVQT_ses-20181003-sample-9_slice-20181003-slice-9_cell-20181003-sample-9_icephys.nwb,201.1356503,0.018015074,-59.71901849,0.078826035,-93.15623343,140,-0.03312612,-22.87661843,37.76469454,156.654307,-107.4628365,1.457753323,0.00088,-44.02213916,-23.18886295,37.76040673,156.2121956,-105.3327245,1.483280531,0.000893333,-43.87357583,5,0.16056,140,1106.339274,no description,[16 17 18 ... 76 77 78],8,2020-03-17 18:20:55.694000+00:00,House mouse,000008/sub-mouse-ZZVQT/sub-mouse-ZZVQT_ses-20181003-sample-9_slice-20181003-slice-9_cell-20181003-sample-9_icephys.nwb,000008/000008/sub-mouse-ZZVQT/sub-mouse-ZZVQT_ses-20181003-sample-9_slice-20181003-slice-9_cell-20181003-sample-9_icephys.nwb,8,63,mouse_ZZVQT,20181003_sample_9,motor cortex,House mouse,sub-mouse-ZZVQT/sub-mouse-ZZVQT_ses-20181003-sample-9_slice-20181003-slice-9_cell-20181003-sample-9_icephys.nwb,"Scala, Federico",15.269859,-3.3124826,0.714257783,2.000802439,11,3.927778,2.3624892,21.179739,25.014128,https://dandiarchive.org/dandiset/000008,https://dandiarchive.s3.amazonaws.com/blobs/084/f25/084f25dd-6e48-4991-bc88-23fe5262e935,https://api.dandiarchive.org/api/dandisets/000008/versions/draft/assets/f34d43b9-ac45-493a-b69b-b55fc007ae8a/
000008/sub-mouse-ZZVQT/sub-mouse-ZZVQT_ses-20181003-sample-7_slice-20181003-slice-7_cell-20181003-sample-7_icephys.nwb,372.2778708,0.024678413,-65.48172719,0.033842496,-101.8773764,60,-0.029993748,-31.22135624,36.85710579,157.639398,-101.092412,1.559359352,0.001,-49.14625734,-32.13136776,36.30149045,152.0995412,-95.61795107,1.590845199,0.001011429,-48.67689045,11.66666667,0.08568,60,1019.280363,no description,[12 13 14 ... 76 77 78],8,2020-03-17 18:20:55.694000+00:00,House mouse,000008/sub-mouse-ZZVQT/sub-mouse-ZZVQT_ses-20181003-sample-7_slice-20181003-slice-7_cell-20181003-sample-7_icephys.nwb,000008/000008/sub-mouse-ZZVQT/sub-mouse-ZZVQT_ses-20181003-sample-7_slice-20181003-slice-7_cell-20181003-sample-7_icephys.nwb,8,63,mouse_ZZVQT,20181003_sample_7,motor cortex,House mouse,sub-mouse-ZZVQT/sub-mouse-ZZVQT_ses-20181003-sample-7_slice-20181003-slice-7_cell-20181003-sample-7_icephys.nwb,"Scala, Federico",12.86704,-11.069616,3.680356035,1.516282338,11,4.379058,2.6688912,-1.4432647,17.64587,https://dandiarchive.org/dandiset/000008,https://dandiarchive.s3.amazonaws.com/blobs/cb9/d1a/cb9d1a15-f79a-4f0e-8868-2a5361a81d19,https://api.dandiarchive.org/api/dandisets/000008/versions/draft/assets/a4d2dc92-812e-4a9c-8bb9-9497ec8ebb0d/
000008/sub-mouse-ZZVQT/sub-mouse-ZZVQT_ses-20181003-sample-4_slice-20181003-slice-4_cell-20181003-sample-4_icephys.nwb,170.5960184,0.014863787,-72.59036244,0.138721708,-101.8530726,100,-0.033883304,-45.65719888,42.29480401,234.3943752,-113.2640566,2.069450647,0.00092,-56.48969114,-44.23725108,40.79600672,221.0710333,-108.0216252,2.045917456,0.00092,-54.56893767,5,0.052,100,1056.359563,no description,[14 15 16 ... 76 77 78],8,2020-03-17 18:20:55.694000+00:00,House mouse,000008/sub-mouse-ZZVQT/sub-mouse-ZZVQT_ses-20181003-sample-4_slice-20181003-slice-4_cell-20181003-sample-4_icephys.nwb,000008/000008/sub-mouse-ZZVQT/sub-mouse-ZZVQT_ses-20181003-sample-4_slice-20181003-slice-4_cell-20181003-sample-4_icephys.nwb,8,63,mouse_ZZVQT,20181003_sample_4,motor cortex,House mouse,sub-mouse-ZZVQT/sub-mouse-ZZVQT_ses-20181003-sample-4_slice-20181003-slice-4_cell-20181003-sample-4_icephys.nwb,"Scala, Federico",9.427647,-8.350847,0.93695791,-0.552961889,11,3.5884943,2.416107,25.78866,-2.387077,https://dandiarchive.org/dandiset/000008,https://dandiarchive.s3.amazonaws.com/blobs/16f/7e9/16f7e9ff-9004-4578-aeb7-c1326d42efe2,https://api.dandiarchive.org/api/dandisets/000008/versions/draft/assets/1fe6f560-a2dc-4b9d-8479-6960122f1a49/
000008/sub-mouse-ZZVQT/sub-mouse-ZZVQT_ses-20181003-sample-1_slice-20181003-slice-1_cell-20181003-sample-1_icephys.nwb,459.6167803,0.039758056,-55.04076587,0.105523215,-97.38186002,40,-0.024167268,-25.60153231,45.75837031,134.3796162,-62.4157211,2.152977068,0.0014,-38.75151277,-24.7099977,44.64993626,127.2398469,-59.74901226,2.128478996,0.00144,-37.85942867,3.333333333,0.12676,40,735.474661,no description,[11 12 13 ... 52 53 78],8,2020-03-17 18:20:55.694000+00:00,House mouse,000008/sub-mouse-ZZVQT/sub-mouse-ZZVQT_ses-20181003-sample-1_slice-20181003-slice-1_cell-20181003-sample-1_icephys.nwb,000008/000008/sub-mouse-ZZVQT/sub-mouse-ZZVQT_ses-20181003-sample-1_slice-20181003-slice-1_cell-20181003-sample-1_icephys.nwb,8,63,mouse_ZZVQT,20181003_sample_1,motor cortex,House mouse,sub-mouse-ZZVQT/sub-mouse-ZZVQT_ses-20181003-sample-1_slice-20181003-slice-1_cell-20181003-sample-1_icephys.nwb,"Scala, Federico",16.731426,0.74066144,0.003677531,3.345846324,11,4.027829,1.3307194,-10.355726,23.052326,https://dandiarchive.org/dandiset/000008,https://dandiarchive.s3.amazonaws.com/blobs/935/77f/93577fe4-602d-4009-b042-70d4bdc228ba,https://api.dandiarchive.org/api/dandisets/000008/versions/draft/assets/1c7beef9-566e-4725-869c-f671e4b166c8/
000008/sub-mouse-ZZVQT/sub-mouse-ZZVQT_ses-20181003-sample-2_slice-20181003-slice-2_cell-20181003-sample-2_icephys.nwb,446.742177,0.042711502,-72.33206461,0.020427736,-100.2899706,60,-0.015186506,-34.0602845,39.37308118,108.876436,-37.55993578,2.89873861,0.00208,-43.93466935,-34.0602845,39.37308118,108.876436,-37.55993578,2.89873861,0.00208,-43.93466935,1.666666667,0.27512,60,645.0887667,no description,[12 13 14 ... 51 52 53],8,2020-03-17 18:20:55.694000+00:00,House mouse,000008/sub-mouse-ZZVQT/sub-mouse-ZZVQT_ses-20181003-sample-2_slice-20181003-slice-2_cell-20181003-sample-2_icephys.nwb,000008/000008/sub-mouse-ZZVQT/sub-mouse-ZZVQT_ses-20181003-sample-2_slice-20181003-slice-2_cell-20181003-sample-2_icephys.nwb,8,63,mouse_ZZVQT,20181003_sample_2,motor cortex,House mouse,sub-mouse-ZZVQT/sub-mouse-ZZVQT_ses-20181003-sample-2_slice-20181003-slice-2_cell-20181003-sample-2_icephys.nwb,"Scala, Federico",14.823897,2.319927,-0.800984262,3.211172397,12,2.0624032,-1.0608959,-17.993124,18.42784,https://dandiarchive.org/dandiset/000008,https://dandiarchive.s3.amazonaws.com/blobs/299/8dc/2998dc93-cc19-4e68-a319-9a6ed441f67c,https://api.dandiarchive.org/api/dandisets/000008/versions/draft/assets/03aebfcf-89af-458f-ba04-0dfe34d20084/
